prodname,prodprice
Classic Mid Rise Skinny Jeans - Medium Blue,34.99
Classic Mid Rise Skinny Jeans - Dark Blue,34.99
Canopy Jeans - Black,32.99
Canopy Jeans - Burgundy,32.99
Canopy Jeans - Burgundy,32.99
Canopy Jeans - Olive,32.99
Canopy Jeans - Black,32.99
Canopy Jeans - White,32.99
Canopy Jeans - White,32.99
Canopy Jeans - Black,32.99
Canopy Jeans - Medium Wash,39.99
Canopy Jeans - Medium Wash,39.99
Canopy Jeans - Olive,32.99
Canopy Jeans - Black,32.99
Canopy Jeans - White,32.99
Canopy Jeans - Burgundy,32.99
Canopy Jeans - Medium Wash,39.99
Canopy Jeans - Olive,32.99
Canopy Jeans - Burgundy,32.99
Canopy Jeans - Medium Wash,39.99
Canopy Jeans - Olive,32.99
Canopy Jeans - White,32.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - White,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - White,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - White,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - White,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - White,29.99
Glistening Jeans - Olive,39.99
Glistening Jeans - Medium Wash,34.99
Glistening Jeans - Black,39.99
Glistening Jeans - White,34.99
Glistening Jeans - Medium Wash,34.99
Glistening Jeans - Olive,39.99
Glistening Jeans - Black,39.99
Super High Waist Denim Skinnies - Olive,29.99
Glistening Jeans - Medium Wash,34.99
Glistening Jeans - Black,39.99
Glistening Jeans - White,34.99
Glistening Jeans - Olive,39.99
Glistening Jeans - White,34.99
Beach Bum Jeans - Medium Blue,37.99
Beach Bum Jeans - Light Blue,37.99
Luxe High Waist Skinny Jeans - Medium,34.99
Luxe High Waist Skinny Jeans - Dark,34.99
Perfectly Classic Jeans - Black,39.99
Perfectly Classic Jeans - Olive,39.99
Imma Keep It Coming Jeans - Medium Wash,29.99
Body Right Booty Shaping Jeans - Dark Denim,19.99
Keep Dreaming Booty Shaping Jeans - Medium Blue Wash,19.99
Glow With The Flow Booty Shaping Jeans - Light,19.99
Round Of Applause Booty Shaped Jeans - Mauve,19.99
Keep Dreaming Booty Shaping Jeans - Light Blue,19.99
Round Of Applause Booty Shaped Jeans - Medium,19.99
Imma Keep It Coming Jeans - Light Wash,24.99
No Distressin' Over You Ankle Jeans - Light Blue Wash,24.99
Let's Get Carried Away Jeans - Medium,19.99
Body Right Booty Shaping Jeans - Black,19.99
Round Of Applause Booty Shaped Jeans - Dark Denim,19.99
Glow With The Flow Booty Shaping Jeans - Medium,19.99
Round Of Applause Booty Shaped Jeans - Dark Denim,19.99
Unbutton Me Denim Shortalls - Dark Denim,27.99
Through The Daylight Overalls - Medium,34.99
Round Of Applause Booty Shaped Jeans - Mauve,19.99
Round Of Applause Booty Shaped Jeans - Medium,19.99
Unbutton Me Denim Shortalls - Medium Blue Wash,27.99
Through The Daylight Overalls - Dark,34.99
Sadie Ruffle Jeans - Black,27.97
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Sadie Ruffle Jeans - Medium Blue Wash,25.97
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
Super High Waist Denim Skinnies - Indigo,29.99
Super High Waist Denim Skinnies - Medium Blue,29.99
Super High Waist Denim Skinnies - Olive,29.99
Super High Waist Denim Skinnies - Black,29.99
Super High Waist Denim Skinnies - Burgundy,29.99
